id,kind,red,n,p,nodos,variante,repeticion,estado,T_Total,T_Dist,T_Scatter,T_Bcast,T_Summa,T_Calc,T_Gather,Checksum,WSum,Hash,Valido,pared_s,tx_mb_total,rx_mb_total,log,inicio,reparto,T_CalcMax,T_CalcMin,T_Reduce,Desbalance,Error,Pi
trapecio_Ethernet_100000000000_96_4_simetrico_1,trapecio,Ethernet,100000000000,96,4,simetrico,1,ok,1.003531,,,,,,,,,,,4.3007,0.3687,0.4079,resultados_optimizacion/20260925_extra/logs/trapecio_Ethernet_100000000000_96_4_simetrico_1.log,2026-09-25T08:28:39.080894-05:00,24 por nodo,1.003478,0.794619,0.203577,1.263,6.53e-14,3.14159265358986
trapecio_Ethernet_100000000_96_4_simetrico_1,trapecio,Ethernet,100000000,96,4,simetrico,1,ok,0.002030,,,,,,,,,,,2.8759,0.3436,0.3517,resultados_optimizacion/20260925_extra/logs/trapecio_Ethernet_100000000_96_4_simetrico_1.log,2026-09-25T08:28:43.387900-05:00,24 por nodo,0.001057,0.000792,0.001233,1.333,2.04e-14,3.14159265358977
trapecio_Ethernet_100000000_24_1_simetrico_1,trapecio,Ethernet,100000000,24,1,simetrico,1,ok,0.005188,,,,,,,,,,,0.9203,0.0016,0.0087,resultados_optimizacion/20260925_extra/logs/trapecio_Ethernet_100000000_24_1_simetrico_1.log,2026-09-25T08:28:46.305444-05:00,24 por nodo,0.005175,0.003185,0.001999,1.625,2.44e-14,3.14159265358982
matriz_Ethernet_7168_24_1_1d_1,matriz,Ethernet,7168,24,1,1d,1,ok,7.702684,1.885632,0.138326,1.860321,0.000000,6.687039,1.534567,120229724.49,6.032646e+12,,,9.039,0.3857,0.0443,resultados_optimizacion/20260925_extra/logs/matriz_Ethernet_7168_24_1_1d_1.log,2026-09-25T08:28:47.286522-05:00,24 por nodo,,,,,,
trapecio_Ethernet_100000000000_24_1_asimetrico_1,trapecio,Ethernet,100000000000,24,1,asimetrico,1,ok,4.528347,,,,,,,,,,,5.6931,0.0696,0.0996,resultados_optimizacion/20260925_extra/logs/trapecio_Ethernet_100000000000_24_1_asimetrico_1.log,2026-09-25T08:28:56.327800-05:00,24 por nodo,4.528285,3.560379,0.967966,1.272,4.82e-12,3.14159265359461
trapecio_Ethernet_100000000000_96_4_asimetrico_1,trapecio,Ethernet,100000000000,96,4,asimetrico,1,ok,1.045769,,,,,,,,,,,4.2629,0.3659,0.3852,resultados_optimizacion/20260925_extra/logs/trapecio_Ethernet_100000000000_96_4_asimetrico_1.log,2026-09-25T08:29:02.028010-05:00,24 por nodo,1.045479,0.879797,0.119710,1.188,8.54e-13,3.14159265358894
matriz_Ethernet_6144_24_1_1d_1,matriz,Ethernet,6144,24,1,1d,1,ok,4.997802,0.864789,0.120887,0.845763,0.000000,4.055243,1.070491,88332041.42,3.798985e+12,,,6.5126,0.0114,0.0616,resultados_optimizacion/20260925_extra/logs/matriz_Ethernet_6144_24_1_1d_1.log,2026-09-25T08:29:06.392456-05:00,24 por nodo,,,,,,
trapecio_Ethernet_100000000000_24_1_simetrico_1,trapecio,Ethernet,100000000000,24,1,simetrico,1,ok,5.378723,,,,,,,,,,,6.528,0.0344,0.0874,resultados_optimizacion/20260925_extra/logs/trapecio_Ethernet_100000000000_24_1_simetrico_1.log,2026-09-25T08:29:12.946636-05:00,24 por nodo,5.378630,4.313824,1.020123,1.247,1.60e-13,3.14159265358995
matriz_Ethernet_6144_96_4_1d_1,matriz,Ethernet,6144,96,4,1d,1,ok,25.194367,24.233612,1.993301,22.538174,0.000000,0.956615,12.844149,88332041.42,3.798985e+12,,,29.4522,3022.3925,3020.8739,resultados_optimizacion/20260925_extra/logs/matriz_Ethernet_6144_96_4_1d_1.log,2026-09-25T08:29:19.480559-05:00,24 por nodo,,,,,,
trapecio_Ethernet_100000000_24_1_asimetrico_1,trapecio,Ethernet,100000000,24,1,asimetrico,1,ok,0.004215,,,,,,,,,,,1.0871,0.0062,0.0026,resultados_optimizacion/20260925_extra/logs/trapecio_Ethernet_100000000_24_1_asimetrico_1.log,2026-09-25T08:29:48.938673-05:00,24 por nodo,0.004179,0.003799,0.000352,1.100,2.18e-14,3.14159265358981
